,City,Country,Max Temp,Weather Description,Lat,Lng,Hotel Name
496,Saint-Georges,GD,80.28,broken clouds,12.0564,-61.7485,Radisson Grenada Beach Resort
500,Pedernales,DO,79.99,overcast clouds,18.0384,-71.744,Hotel Costa Marina
503,Broken Hill,AU,76.71,broken clouds,-31.95,141.4333,Royal Exchange Hotel
504,Poso,ID,86.23,broken clouds,-1.3959,120.7524,Hotel 77 Poso
507,Ishigaki,JP,78.93,broken clouds,24.3448,124.1572,Hotel Peace Land Ishigakijima
510,Lahat,ID,85.01,overcast clouds,-3.8,103.5333,Bukit Serelo Hotel
514,Bundaberg,AU,84.22,clear sky,-24.85,152.35,Takalvan Motel
518,Neiafu,TO,83.08,scattered clouds,-18.65,-173.9833,Mystic Sands Beachfront Accommodation
525,San Andres,CO,84.22,few clouds,12.5847,-81.7006,Hotel Arena Blanca
527,Spring Hill,US,75.81,broken clouds,28.4769,-82.5255,Millennium Suites Llc
529,Denpasar,ID,82.06,scattered clouds,-8.65,115.2167,OYO 3156 Hotel Warta Dua
530,Morondava,MG,76.14,clear sky,-20.2833,44.2833,La Case Bambou
531,Porbandar,IN,81.54,clear sky,21.6422,69.6093,Lords Inn Porbandar
534,Lethem,GY,76.57,overcast clouds,3.3803,-59.7968,Savannah Inn
543,Eyl,SO,76.69,few clouds,7.9803,49.8164,EYL AQUE SYSTEM
545,Tarapur,IN,77.34,clear sky,19.85,72.7,Vasantshrushti Farm
547,Muli,MV,81.63,scattered clouds,2.9167,73.5667,Medhufushi Island Resort
548,Nelson Bay,AU,84.25,overcast clouds,-32.7167,152.15,Mantra Nelson Bay
549,Kingaroy,AU,88.34,broken clouds,-26.5333,151.8333,Ascot Lodge Motel Kingaroy
550,Isabela,PH,87.85,overcast clouds,6.7085,121.9711,Isawad Resort
556,Sao Jose Da Coroa Grande,BR,75.4,few clouds,-8.8978,-35.1478,Crôa Mares Hotel
557,Tezu,IN,77.67,clear sky,27.9167,96.1667,Circuit House
559,Am Timan,TD,76.95,overcast clouds,11.0297,20.2827,Palais du chef Canton Salamt
564,Kandrian,PG,85.3,light rain,-6.2167,149.55,Kandrian Station
565,Sinnamary,GF,78.73,overcast clouds,5.3833,-52.95,ALETHEIA Appartement Sinnamary
566,Terra Santa,BR,80.35,overcast clouds,-2.1042,-56.4869,Hotel Sarah
573,Olinda,BR,80.33,broken clouds,-8.0089,-34.8553,Flat Quatro Rodas Olinda
576,Bahawalpur,PK,79.39,clear sky,29.4,71.6833,5th Avenue | Royaute Luxury Hotels
579,Gurun,MY,80.38,moderate rain,5.8172,100.4738,The Jerai Hill Resort
584,Kokopo,PG,83.88,light rain,-4.352,152.2633,Kokopo Beach Bungalow Resort
589,Laje,BR,75.06,few clouds,-10.1833,-40.9667,NN Pousada
595,Jiazi,CN,75.43,overcast clouds,22.8779,116.067,Hotel Jin Hao
599,Tuy Hoa,VN,80.24,broken clouds,13.0833,109.3,CenDeluxe Hotel Tuy Hoa
602,Pitimbu,BR,75.79,broken clouds,-7.4706,-34.8086,Reserva do Abiaí
606,Maragogi,BR,75.13,few clouds,-9.0122,-35.2225,Salinas do Maragogi All Inclusive Resort
612,Itarema,BR,78.46,few clouds,-2.9248,-39.9167,"Sea Lounge! Bar, Club & Restaurant"
