City_ID,City,Country,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed,Weather Description
243,Henties Bay,NA,-22.116,14.2845,59.02,87,94,5.79,overcast clouds
244,Lazaro Cardenas,MX,17.9583,-102.2,77.4,85,14,3.38,few clouds
245,Leningradskiy,RU,69.3833,178.4167,8.01,90,100,13.8,overcast clouds
246,Muravlenko,RU,63.7898,74.523,18.21,90,36,13.04,scattered clouds
247,Sitka,US,57.0531,-135.33,39.09,75,100,11.5,moderate rain
248,Souillac,MU,-20.5167,57.5167,68.38,94,75,3.44,broken clouds
249,Butzow,DE,53.85,11.9833,54.19,92,64,5.93,broken clouds
250,Ngunguru,NZ,-35.6167,174.5,64.11,92,98,3.74,overcast clouds
251,Beloha,MG,-25.1667,45.05,73.9,58,0,7.72,clear sky
252,Vanino,RU,49.0869,140.2543,46.65,45,12,4.76,few clouds
253,Borger,NL,52.9233,6.7931,53.89,93,78,6.46,broken clouds
254,Grootfontein,NA,-19.5667,18.1167,69.37,64,94,3.44,overcast clouds
255,Thanatpin,MM,17.2119,96.3033,82.58,79,34,5.1,scattered clouds
256,Bathsheba,BB,13.2167,-59.5167,83.01,78,40,14.97,scattered clouds
257,Bilibino,RU,68.0546,166.4372,-17.21,100,97,1.72,overcast clouds
258,Berlevag,NO,70.8578,29.0864,37.4,91,97,12.53,overcast clouds
259,Mackay,AU,-21.15,149.2,91.69,63,0,14.09,clear sky
260,Sept-Iles,CA,50.2001,-66.3821,44.06,90,100,3.44,overcast clouds
261,Leninskoye,KZ,41.7589,69.3864,46.71,78,100,2.8,overcast clouds
262,Nova Olimpia,BR,-14.7972,-57.2881,77.02,73,8,4.36,clear sky
263,Sabzevar,IR,36.2126,57.6819,51.08,76,0,11.5,clear sky
264,Isangel,VU,-19.55,169.2667,86.11,70,29,8.05,scattered clouds
265,Mazarron,ES,37.5992,-1.3149,65.44,88,2,1.97,clear sky
266,Dese,ET,11.1333,39.6333,46.56,57,47,2.48,scattered clouds
267,Ixtapa,MX,20.7,-105.2,81.63,69,75,0.0,broken clouds
268,Mutsu,JP,41.2894,141.2169,57.33,61,16,5.03,few clouds
269,Leh,IN,34.1667,77.5833,33.21,45,21,3.51,few clouds
270,Lac Du Bonnet,CA,50.2536,-96.0612,44.24,48,92,9.62,overcast clouds
271,Peniche,PT,39.3558,-9.3811,66.29,81,100,11.3,overcast clouds
272,Dunedin,NZ,-45.8742,170.5036,56.8,82,90,4.0,overcast clouds
273,Thunder Bay,CA,48.4001,-89.3168,35.58,69,0,1.14,clear sky
274,Hearst,CA,49.6835,-83.6665,35.85,82,65,2.35,broken clouds
275,Sambava,MG,-14.2667,50.1667,70.68,84,80,8.43,broken clouds
276,Sabang,ID,5.8933,95.3214,82.02,73,100,14.76,overcast clouds
277,Presidencia Roque Saenz Pena,AR,-26.7852,-60.4388,58.82,59,100,19.17,overcast clouds
278,Kyabram,AU,-36.3167,145.05,64.13,76,53,20.4,broken clouds
279,Bardiyah,LY,31.7561,25.0865,64.87,73,1,5.5,light rain
