City_ID,City,Country,Date,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed
91,Torbay,CA,2022-10-27 22:47:39,47.6666,-52.7314,63.75,97,100,11.5
92,Lavrentiya,RU,2022-10-27 22:51:57,65.5833,-171.0,23.59,68,89,7.45
93,Mahebourg,MU,2022-10-27 22:51:58,-20.4081,57.7,73.69,83,40,11.5
94,Montepuez,MZ,2022-10-27 22:51:58,-13.1256,38.9997,68.04,77,0,5.5
95,Taltal,CL,2022-10-27 22:51:59,-25.4,-70.4833,60.39,73,23,4.36
96,Khatanga,RU,2022-10-27 22:49:10,71.9667,102.5,4.23,98,99,4.34
97,Yulara,AU,2022-10-27 22:51:59,-25.2406,130.9889,69.64,32,75,17.27
98,Batemans Bay,AU,2022-10-27 22:52:00,-35.7167,150.1833,64.09,38,1,12.03
99,Broken Hill,AU,2022-10-27 22:52:00,-31.95,141.4333,60.01,52,7,14.7
100,Bilma,NE,2022-10-27 22:52:01,18.6853,12.9164,73.9,21,0,5.44
101,Luganville,VU,2022-10-27 22:52:02,-15.5333,167.1667,84.06,70,3,6.04
102,Nortelandia,BR,2022-10-27 22:52:03,-14.4547,-56.8028,81.46,67,44,3.74
103,Paamiut,GL,2022-10-27 22:52:03,61.994,-49.6678,37.72,87,99,10.29
104,Atuona,PF,2022-10-27 22:52:04,-9.8,-139.0333,77.07,74,34,16.69
105,Necochea,AR,2022-10-27 22:52:04,-38.5473,-58.7368,57.18,55,22,2.55
106,Leningradskiy,RU,2022-10-27 22:52:05,69.3833,178.4167,12.45,94,99,16.02
107,Grahamstown,ZA,2022-10-27 22:52:06,-33.3042,26.5328,56.95,92,73,7.9
108,Noumea,NC,2022-10-27 22:52:06,-22.2763,166.4572,84.18,99,16,4.81
109,Oranjestad,AW,2022-10-27 22:52:07,12.524,-70.027,84.15,83,40,4.61
110,Svetlyy,RU,2022-10-27 22:52:08,54.675,20.1347,53.65,94,100,6.82
111,Te Anau,NZ,2022-10-27 22:50:10,-45.4167,167.7167,53.15,97,100,1.79
112,Castro,BR,2022-10-27 22:47:49,-24.7911,-50.0119,64.96,86,100,3.98
113,Gubkinskiy,RU,2022-10-27 22:52:09,64.434,76.5026,24.12,85,100,22.84
114,Itoman,JP,2022-10-27 22:52:10,26.1247,127.6694,75.22,72,20,11.5
115,Hualmay,PE,2022-10-27 22:52:11,-11.0964,-77.6139,63.97,76,9,12.03
116,Lasa,IT,2022-10-27 22:52:11,46.6166,10.7002,54.48,64,5,1.95
117,Ust-Kut,RU,2022-10-27 22:52:12,56.7938,105.7672,27.93,73,17,3.94
118,Najran,SA,2022-10-27 22:52:15,17.4924,44.1277,61.45,29,2,0.76
119,Vypolzovo,RU,2022-10-27 22:52:16,57.8767,33.6986,46.08,95,100,6.11
120,Muroto,JP,2022-10-27 22:52:16,33.2833,134.15,65.61,67,33,13.69
121,Zhigansk,RU,2022-10-27 22:52:17,66.7697,123.3711,11.12,95,98,3.24
122,Berezovka,BY,2022-10-27 22:52:18,53.7214,25.4993,47.59,95,81,5.59
123,Kapaa,US,2022-10-27 22:52:18,22.0752,-159.319,82.72,72,40,20.71
124,Brazii,RO,2022-10-27 22:52:20,44.7667,26.35,55.9,63,6,2.51
125,Ambon,ID,2022-10-27 22:52:21,-3.6954,128.1814,78.94,89,20,5.75
126,Caravelas,BR,2022-10-27 22:52:22,-17.7125,-39.2481,74.95,82,5,8.37
127,Laguna,US,2022-10-27 22:52:22,38.421,-121.4238,76.1,27,0,4.61
128,Proletariy,RU,2022-10-27 22:52:23,58.4342,31.7046,46.9,96,100,8.12
129,Ekibastuz,KZ,2022-10-27 22:52:24,51.6667,75.3667,24.24,88,78,15.3
130,Vozhega,RU,2022-10-27 22:52:24,60.4725,40.2213,40.89,99,100,3.0
131,Jiuquan,CN,2022-10-27 22:52:25,39.7432,98.5174,42.98,49,100,3.24
132,Severo-Kurilsk,RU,2022-10-27 22:52:25,50.6789,156.125,39.06,61,99,30.62
133,Carnarvon,AU,2022-10-27 22:48:54,-24.8667,113.6333,66.54,62,47,13.18
134,Wanaka,NZ,2022-10-27 22:50:11,-44.7,169.15,59.11,78,100,3.0
135,Segezha,RU,2022-10-27 22:53:26,63.7415,34.3222,34.47,90,99,6.46
136,Podgorica,ME,2022-10-27 22:52:01,42.4411,19.2636,55.18,76,0,1.14
137,Uray,RU,2022-10-27 22:53:27,60.1247,64.7758,30.0,84,100,13.35
138,Cidreira,BR,2022-10-27 22:53:27,-30.1811,-50.2056,67.95,67,0,5.01
139,Sarakhs,IR,2022-10-27 22:53:28,36.5449,61.1577,60.42,37,2,8.12
140,Rovaniemi,FI,2022-10-27 22:53:28,66.5,25.7167,27.81,100,100,8.05
141,Sydney,AU,2022-10-27 22:49:52,-33.8679,151.2073,73.31,42,0,17.27
142,Bambanglipuro,ID,2022-10-27 22:53:29,-7.95,110.2833,74.77,76,95,3.02
143,Ishigaki,JP,2022-10-27 22:53:30,24.3448,124.1572,75.33,88,75,11.5
144,Rio Gallegos,AR,2022-10-27 22:48:33,-51.6226,-69.2181,48.25,87,75,16.11
145,Nome,US,2022-10-27 22:53:30,64.5011,-165.4064,26.17,77,12,5.32
146,Kruisfontein,ZA,2022-10-27 22:53:31,-34.0033,24.7314,61.88,87,14,8.48
147,Katsuura,JP,2022-10-27 22:53:31,35.1333,140.3,61.9,70,4,9.42
148,Pathein,MM,2022-10-27 22:53:32,16.7833,94.7333,74.41,89,63,4.27
149,Areka,ET,2022-10-27 22:53:32,7.0667,37.7,61.32,88,91,3.38
150,Barrow,US,2022-10-27 22:48:59,71.2906,-156.7887,21.22,93,100,12.66
151,Northam,GB,2022-10-27 22:53:33,51.0333,-4.2167,61.39,92,100,18.75
152,Puerto Palomas,MX,2022-10-27 22:53:33,31.7667,-107.6167,67.71,20,0,27.6
153,Sibolga,ID,2022-10-27 22:53:34,1.7427,98.7792,74.66,93,100,1.68
154,Faya,SA,2022-10-27 22:53:34,18.3851,42.4509,57.31,73,11,1.74
155,Jalu,LY,2022-10-27 22:53:35,29.0331,21.5482,69.64,44,0,5.77
156,Manama,BH,2022-10-27 22:53:35,26.2154,50.5832,84.18,70,100,5.75
157,Troitskoye,RU,2022-10-27 22:53:36,52.9821,84.6757,34.36,89,97,17.47
158,Kodar,IN,2022-10-27 22:53:36,16.9833,79.9667,68.07,76,0,5.68
159,Meridian,US,2022-10-27 22:51:15,43.6121,-116.3915,53.53,41,0,3.0
160,Djibo,BF,2022-10-27 22:53:37,14.1022,-1.6306,84.81,17,0,9.6
161,Sola,VU,2022-10-27 22:53:37,-13.8833,167.55,80.64,71,1,3.76
162,Saint-Pierre,RE,2022-10-27 22:53:38,-21.3393,55.4781,72.91,64,20,6.91
163,Jieshi,CN,2022-10-27 22:53:38,22.8134,115.8257,70.81,77,18,6.69
164,Lompoc,US,2022-10-27 22:53:39,34.6391,-120.4579,69.01,52,0,12.66
165,Pevek,RU,2022-10-27 22:53:39,69.7008,170.3133,2.19,94,100,4.81
166,Svetlogorsk,BY,2022-10-27 22:53:39,52.6333,29.7333,45.46,92,88,5.57
167,Canaries,ES,2022-10-27 22:53:40,28.0,-15.5,66.4,83,20,11.5
168,Chokurdakh,RU,2022-10-27 22:53:40,70.6333,147.9167,3.69,94,98,6.58
169,Progreso,MX,2022-10-27 22:53:41,21.2833,-89.6667,85.1,77,8,11.3
170,Mastic Beach,US,2022-10-27 22:49:09,40.7668,-72.8521,61.99,57,0,11.5
171,Alofi,NU,2022-10-27 22:53:41,-19.0595,-169.9187,78.69,78,100,13.8
172,Kaitangata,NZ,2022-10-27 22:47:49,-46.2817,169.8464,55.72,86,100,10.07
173,Isoka,ZM,2022-10-27 22:53:42,-10.1606,32.6335,66.81,39,1,1.66
174,Mecca,SA,2022-10-27 22:53:43,21.4267,39.8261,79.29,62,100,2.95
175,Touros,BR,2022-10-27 22:53:16,-5.1989,-35.4608,78.4,80,63,15.03
176,Petatlan,MX,2022-10-27 22:52:18,17.5167,-101.2667,83.16,76,23,4.0
177,Brodokalmak,RU,2022-10-27 22:53:44,55.5748,62.082,25.7,67,67,9.22
178,Sao Filipe,CV,2022-10-27 22:47:40,14.8961,-24.4956,80.94,72,30,9.22
179,Srednekolymsk,RU,2022-10-27 22:53:44,67.45,153.6833,1.54,93,96,6.53
180,Ola,RU,2022-10-27 22:53:45,59.5833,151.2833,17.62,61,63,4.83
181,Kodiak,US,2022-10-27 22:54:46,57.79,-152.4072,37.24,53,34,28.01
182,Biskamzha,RU,2022-10-27 22:54:46,53.4497,89.5272,33.17,93,98,6.17
183,Iracoubo,GF,2022-10-27 22:54:46,5.4802,-53.2011,80.49,79,94,17.2
184,Grootfontein,NA,2022-10-27 22:54:47,-19.5667,18.1167,74.82,46,68,5.23
185,Inhambane,MZ,2022-10-27 22:54:47,-23.865,35.3833,76.17,92,99,6.49
186,Ipameri,BR,2022-10-27 22:54:48,-17.7219,-48.1597,79.29,41,49,3.56
187,Port Lincoln,AU,2022-10-27 22:52:13,-34.7333,135.8667,57.58,65,29,15.48
188,Meulaboh,ID,2022-10-27 22:54:48,4.1363,96.1285,75.87,90,100,4.09
189,Lata,PT,2022-10-27 22:54:49,40.1629,-8.3327,70.81,89,59,5.08
190,Vallenar,CL,2022-10-27 22:54:49,-28.5708,-70.7581,67.82,42,0,5.48
191,Shadrinsk,RU,2022-10-27 22:54:49,56.0852,63.6335,28.85,65,65,12.97
192,Sobolevo,RU,2022-10-27 22:54:50,54.4299,31.8996,45.41,93,92,4.94
193,Padang,ID,2022-10-27 22:54:50,-0.9492,100.3543,76.03,84,75,2.37
194,Ystad,SE,2022-10-27 22:54:51,55.4297,13.8204,56.14,89,100,12.57
195,Kemijarvi,FI,2022-10-27 22:54:51,66.7131,27.4306,28.17,92,100,4.36
196,Popondetta,PG,2022-10-27 22:54:52,-8.7537,148.2534,88.05,58,100,1.57
197,Estepona,ES,2022-10-27 22:54:52,36.4276,-5.1459,68.58,56,81,4.09
198,Vila Franca Do Campo,PT,2022-10-27 22:54:53,37.7167,-25.4333,63.01,72,82,8.9
199,Tazovskiy,RU,2022-10-27 22:54:53,67.4667,78.7,24.12,94,100,18.32
200,Ilulissat,GL,2022-10-27 22:54:54,69.2167,-51.1,33.35,99,100,8.41
201,Port Elizabeth,ZA,2022-10-27 22:54:54,-33.918,25.5701,64.09,89,75,13.8
202,San Cristobal,VE,2022-10-27 22:43:18,7.7669,-72.225,71.78,99,77,3.42
203,Ixtapa,MX,2022-10-27 22:51:07,20.7,-105.2,84.22,73,6,5.99
204,Abnub,EG,2022-10-27 22:54:55,27.2696,31.1511,71.82,45,0,4.65
205,Conceicao Do Araguaia,BR,2022-10-27 22:54:56,-8.2578,-49.2647,77.67,79,74,4.38
206,Tuyen Quang,VN,2022-10-27 22:54:57,21.8233,105.2181,72.28,89,95,1.83
207,Ostrovnoy,RU,2022-10-27 22:54:58,68.0531,39.5131,25.95,88,81,4.5
208,Bathsheba,BB,2022-10-27 22:47:45,13.2167,-59.5167,83.01,74,20,21.85
209,Namatanai,PG,2022-10-27 22:54:59,-3.6667,152.4333,84.76,68,41,5.41
210,Deputatskiy,RU,2022-10-27 22:54:59,69.3,139.9,8.62,91,99,7.23
211,Pisco,PE,2022-10-27 22:54:55,-13.7,-76.2167,64.45,72,0,18.41
212,Evanston,US,2022-10-27 22:55:00,42.0411,-87.6901,49.96,70,100,1.99
213,Ashta,IN,2022-10-27 22:55:00,23.0167,76.7167,66.83,54,0,2.46
214,Along,IN,2022-10-27 22:52:56,28.1667,94.7667,59.58,92,41,1.52
215,Camana,PE,2022-10-27 22:55:01,-16.6228,-72.7111,63.25,78,21,5.95
216,Ati,TD,2022-10-27 22:55:01,13.2154,18.3353,83.17,17,10,9.06
217,Tilichiki,RU,2022-10-27 22:55:02,60.4667,166.1,12.43,77,5,7.07
218,Pacific Grove,US,2022-10-27 22:55:03,36.6177,-121.9166,71.55,76,2,8.99
219,Hwange,ZW,2022-10-27 22:55:04,-18.3693,26.5019,76.66,51,58,1.59
220,Erice,IT,2022-10-27 22:55:04,38.037,12.5865,61.27,47,95,5.39
221,Khandyga,RU,2022-10-27 22:55:05,62.6667,135.6,23.45,96,100,3.06
222,Podporozhye,RU,2022-10-27 22:55:06,60.9112,34.1706,42.69,96,100,4.38
